"units" "miles" "poles" "town"   capex	avg_sf_home total_assessed WiredWest_support    crocker_cluster total_cost vacancy  census_seasonal mbi_non_primary
357 26 785 "Alford"	    830000    714950   271040108      No   		1	       1310000             0.05     0	0    
934 72 1743 "Ashfield"	    2300000 	237407	  224035671     Medium		3	       3710000 		   0.04	    0.10	121  
1862 107 3560 "Becket"	    3750000 	231784	  500323071     Strong		5	       5900000 		   0.04	    0.54	979  
612 50 1385 "Blandford"	    1760000 	210653	  165829451     Strong		5	       2800000 		   0.04	    0.11	94   
671 55 1783 "Charlemont"	    1710000 	184317	  125982938     Medium	3	       2670000 		   0.08	    0.11	21   
618 48 1320 "Chesterfield"	    1510000 	212902	  140105660     Strong	4	       2400000 		   0.02	    0.12	0    
908 72 1802 "Colrain"	    2250000 	174802	  165683835     Weak		3	       3550000 		   0.05	    0.09	0    
533 50 1275 "Cummington"	    1370000 	230746	  129864817     Medium	4	       2210000 		   0.05	    0.13	0    
1034 56 1837 "Egremont"	    1870000 	373119	  380904827     Weak		1	       2940000 		   0.04	    0.37	0    
383 37 1108 "Florida"  1060000		151936	  119887568	No		0	       1700000		   0.05	    0	0    
636 40 1324 "Goshen"	    1380000 	217769	  142483192     Strong		4	       2150000 		   0.04	    0.28	0    
755 26 758 "Hancock"	    1390000 	232387	  294036078     No		1	       2200000 		   0.05	    0	0    
218 29 833 "Hawley"	    1020000 	229016	  51110659      Weak		4	       1540000 		   0.05	    0.32	71   
403 51 1563 "Heath"	    1420000 	174598	  88815202      Strong		3	       2240000 		   0.05	    0.53	69   
1259 41 1202 "Hinsdale"	    1770000 	240582	  300892188     Strong		4	       2780000 		   0.23	    0.25	0    
1848 52 1423 "Lanesborough"    2500000 	216926	  402791313     No		1	       3880000 		   0.05	    0	0    
350 34 817 "Leyden"	    1070000 	220343	  83934754      Weak		3	       1750000 		   0.04	    0.08	0    
287 31 781 "Middlefield"	    1010000 	190873	  65485224  No    	5	       1590000 		   0.04	    0.18	0    
88 10 220 "Monroe"		    750000   	95473 	  22473806      No	0	       1080000 		   0.05	    0	0    
994 63 2008 "Monterey"	    1960000 	532673	  502419840     Strong		5	       3100000 		   0.04	    0.52	285  
372 26 722 "Montgomery"	    950000   	258399	  106186887     No		5	       1500000 		   0.02	    0.02	14   
180 23 630 "Mount Washington"  800000   	425555	  84288303  No    	1	       1250000 		   0.05	    0	0    
114 10 228 "New Ashford"	    420000   	268615	  40798100    Strong  	1	       700000 		   0.08	    0.08	0    
400 47 1510 "New Braintree"    1190000 	253373	  110734543     No    		0	       1910000 		   0.05	    0	0    
1116 97 2818 "New Marlborough" 3020000 	382826	  476848240     Medium		5	       4730000 		   0.06	    0.36	68   
472 41 1289 "New Salem"	    1390000 	205493	  107964663     Strong		2	       2140000 		   0.06	    0.07	6    
1751 81 2421 "Otis"	    3100000 	319677	  611854055     No		5	       4870000 		   0.03	    0.57	0    
433 34 971 "Peru"		    1150000 	179562	  85794796      Strong	4	       1840000 		   0.04	    0.15	0    
713 48 1561 "Petersham"	    1650000 	236337	  147820467     No		0	       2530000 		   0.05	    0	0    
361 39 979 "Plainfield"	    1110000 	181320	  80224176      Strong		3	       1760000 		   0.04	    0.15	60   
249 31 942 "Rowe"		    860000   	201472	  290155485   Strong  	3	       1300000 		   0.04	    0.23	9    
673 67 2131 "Royalston"	    2010000 	167869	  119772455     No    		0	       3180000 		   0.05	    0	0    
766 71 1762 "Sandisfield"	    2380000 	245523	  216133236     Strong	5	       3610000 		   0.04	    0.42	3    
388 32 735 "Savoy"		    1110000 	154675	  63658359      No	4	       1760000 		   0.05	    0	0    
881 43 1481 "Shutesbury"	    1570000 	243661	  211670140     Strong	2	       2440000 		   0.05	    0.13	0    
566 26 613 "Tolland"	    1820000 	295720	  184690700     Strong		5	       2650000 		   0.05	    0.59	0    
338 24 750 "Tyringham"	    900000   	497897	  189952150     Weak		5	       1380000 		   0.04	    0.49	119  
399 49 1570 "Warwick"	    1610000 	172064	  76824362      Weak		2	       2480000 		   0.08	    0.16	29   
269 24 562 "Washington"	    770000   	223291	  77666252      Strong		5	       1260000 		   0.04	    0.10	7    
471 40 1150 "Wendell"	    1170000 	164067	  92148368      No		2	       1900000 		   0.06	    0.04	0    
949 48 1541 "West Stockbridge" 1830000 	411539	  370539378     Strong		1	       2830000 		   0.06	    0.26	0    
510 53 1310 "Windsor"	    1320000 	189862	  111555713     Strong		4	       2150000 		   0.04	    0.22	0    
698 59 1623 "Worthington"	    1790000 	233260	  167236113   Medium  	4	       2860000 		   0.05	    0.13	64   
